condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,3,0,2,B,57.77,27.07,0.06,0.43,B,6677,Correct
4F4K_congruent,3,1,1,A,35.89,68.19,0.04,1.07,B,3220,Incorrect
4F4K_congruent,3,2,1,A,51.41,62.46,0.06,0.98,B,885,Incorrect
4F4K_congruent,3,3,1,B,70.32,44.54,0.08,0.7,A,785,Incorrect
4F4K_congruent,3,4,2,A,18.79,48.95,0.02,0.77,A,534,Correct
4F4K_congruent,3,5,2,A,23.07,36.57,0.03,0.57,A,636,Correct
4F4K_congruent,3,6,1,B,54.69,36.86,0.06,0.58,B,711,Correct
4F4K_congruent,3,7,1,B,70.92,55.65,0.08,0.87,B,702,Correct
4F4K_congruent,3,8,1,B,49.59,35.36,0.06,0.56,B,986,Correct
4F4K_congruent,3,9,1,A,23.96,52.82,0.03,0.83,A,1202,Correct
4F4K_congruent,3,10,2,A,44.75,68.33,0.05,1.07,B,2192,Incorrect
4F4K_congruent,3,11,2,A,61.66,73.93,0.07,1.16,B,710,Incorrect
4F4K_congruent,3,12,1,B,50.68,41.64,0.06,0.65,B,804,Correct
4F4K_congruent,3,13,2,A,42.32,67.16,0.05,1.05,B,918,Incorrect
4F4K_congruent,3,14,2,A,15.85,32.89,0.02,0.52,A,799,Correct
4F4K_congruent,3,15,2,A,20.44,46.91,0.02,0.74,A,971,Correct
4F4K_congruent,3,16,2,B,31.46,13.06,0.04,0.21,A,1248,Incorrect
4F4K_congruent,3,17,2,A,33.5,43.02,0.04,0.68,A,986,Correct
4F4K_congruent,3,18,2,B,49.39,22.58,0.06,0.35,B,846,Correct
4F4K_congruent,3,19,2,A,26.31,39.65,0.03,0.62,A,1416,Correct
4F4K_congruent,3,20,2,B,63.13,50.13,0.07,0.79,B,1396,Correct
4F4K_congruent,3,21,2,B,43.79,33.67,0.05,0.53,B,1179,Correct
4F4K_congruent,3,22,2,A,30.27,54.78,0.03,0.86,B,860,Incorrect
4F4K_congruent,3,23,2,A,62.84,88.59,0.07,1.39,B,869,Incorrect
4F4K_congruent,3,24,1,B,72.79,51.13,0.08,0.8,B,814,Correct
4F4K_congruent,3,25,2,A,21.19,49.49,0.02,0.78,A,920,Correct
4F4K_congruent,3,26,2,A,47.24,54.9,0.05,0.86,B,1170,Incorrect
4F4K_congruent,3,27,2,A,26.81,41.24,0.03,0.65,A,839,Correct
4F4K_congruent,3,28,1,A,37.4,51.43,0.04,0.81,A,1337,Correct
4F4K_congruent,3,29,1,A,31.83,56.47,0.04,0.89,A,714,Correct
4F4K_congruent,3,30,1,A,27.29,40.11,0.03,0.63,A,1093,Correct
4F4K_congruent,3,31,1,A,42.17,58.79,0.05,0.92,B,760,Incorrect
4F4K_congruent,3,32,1,A,51.86,77.47,0.06,1.22,B,859,Incorrect
4F4K_congruent,3,33,2,B,58.97,49.87,0.07,0.78,B,743,Correct
4F4K_congruent,3,34,1,A,42.28,58.36,0.05,0.92,B,966,Incorrect
4F4K_congruent,3,35,2,A,45.28,65.03,0.05,1.02,B,930,Incorrect
4F4K_congruent,3,36,2,A,38.63,62.03,0.04,0.97,B,856,Incorrect
4F4K_congruent,3,37,1,B,53.28,26.93,0.06,0.42,B,717,Correct
