condition,subject,sub_task,block,acc
4F4K_congruent,3,1,0,0.7142857142857143
4F4K_congruent,3,1,1,0.625
4F4K_congruent,3,1,2,0.8
4F4K_congruent,3,1,3,0.7058823529411765
4F4K_congruent,3,1,4,0.7692307692307693
4F4K_congruent,3,1,5,0.5454545454545454
4F4K_congruent,3,1,6,0.4
4F4K_congruent,3,1,7,0.5333333333333333
4F4K_congruent,3,1,8,0.6666666666666666
4F4K_congruent,3,1,9,0.75
4F4K_congruent,3,1,10,0.42857142857142855
4F4K_congruent,3,1,11,0.7272727272727273
4F4K_congruent,3,1,12,0.5833333333333334
4F4K_congruent,3,1,13,0.8181818181818182
4F4K_congruent,3,1,14,0.7692307692307693
4F4K_congruent,3,1,15,0.4
4F4K_congruent,3,2,0,0.9090909090909091
4F4K_congruent,3,2,1,0.7777777777777778
4F4K_congruent,3,2,2,0.3
4F4K_congruent,3,2,3,0.875
4F4K_congruent,3,2,4,0.8333333333333334
4F4K_congruent,3,2,5,0.9285714285714286
4F4K_congruent,3,2,6,0.8666666666666667
4F4K_congruent,3,2,7,0.6
4F4K_congruent,3,2,8,0.8
4F4K_congruent,3,2,9,0.5294117647058824
4F4K_congruent,3,2,10,0.8333333333333334
4F4K_congruent,3,2,11,0.8571428571428571
4F4K_congruent,3,2,12,0.6153846153846154
4F4K_congruent,3,2,13,0.7857142857142857
4F4K_congruent,3,2,14,0.75
4F4K_congruent,3,2,15,0.5555555555555556
4F4K_congruent,7,1,0,0.6153846153846154
4F4K_congruent,7,1,1,0.7058823529411765
4F4K_congruent,7,1,2,0.5555555555555556
4F4K_congruent,7,1,3,0.6666666666666666
4F4K_congruent,7,1,4,0.6666666666666666
4F4K_congruent,7,1,5,0.6923076923076923
4F4K_congruent,7,1,6,0.5454545454545454
4F4K_congruent,7,1,7,0.5384615384615384
4F4K_congruent,7,1,8,0.9090909090909091
4F4K_congruent,7,1,9,0.7142857142857143
4F4K_congruent,7,1,10,0.7
4F4K_congruent,7,1,11,0.9333333333333333
4F4K_congruent,7,1,12,0.6666666666666666
4F4K_congruent,7,1,13,0.6
4F4K_congruent,7,1,14,0.7
4F4K_congruent,7,1,15,0.7857142857142857
4F4K_congruent,7,2,0,0.75
4F4K_congruent,7,2,1,0.75
4F4K_congruent,7,2,2,0.625
4F4K_congruent,7,2,3,0.8461538461538461
4F4K_congruent,7,2,4,0.75
4F4K_congruent,7,2,5,0.6666666666666666
4F4K_congruent,7,2,6,0.7142857142857143
4F4K_congruent,7,2,7,0.3333333333333333
4F4K_congruent,7,2,8,0.7142857142857143
4F4K_congruent,7,2,9,0.7272727272727273
4F4K_congruent,7,2,10,0.6
4F4K_congruent,7,2,11,0.8
4F4K_congruent,7,2,12,0.6153846153846154
4F4K_congruent,7,2,13,0.6666666666666666
4F4K_congruent,7,2,14,0.5333333333333333
4F4K_congruent,7,2,15,0.6
4F4K_congruent,11,1,0,0.6153846153846154
4F4K_congruent,11,1,1,0.5
4F4K_congruent,11,1,2,0.5
4F4K_congruent,11,1,3,1.0
4F4K_congruent,11,1,4,0.9090909090909091
4F4K_congruent,11,1,5,0.9
4F4K_congruent,11,1,6,0.8461538461538461
4F4K_congruent,11,1,7,1.0
