condition,subject,trial,state,t,x,y
slow,1,-1,state_init,0.0,863,328
slow,1,-1,state_init,62.0,863,328
slow,1,-1,state_init,65.0,863,328
slow,1,-1,state_init,68.0,863,328
slow,1,-1,state_init,75.0,863,328
slow,1,-1,state_init,81.0,863,328
slow,1,-1,state_init,84.0,863,328
slow,1,-1,state_init,85.0,863,328
slow,1,-1,state_init,87.0,863,328
slow,1,-1,state_init,89.0,863,328
slow,1,-1,state_init,91.0,863,328
slow,1,-1,state_init,93.0,863,328
slow,1,-1,state_init,95.0,863,328
slow,1,-1,state_init,96.0,863,328
slow,1,-1,state_init,98.0,863,328
slow,1,-1,state_init,101.0,863,328
slow,1,-1,state_init,132.0,863,328
slow,1,-1,state_init,135.0,863,328
slow,1,-1,state_init,137.0,863,328
slow,1,-1,state_init,140.0,863,328
slow,1,-1,state_init,149.0,863,328
slow,1,-1,state_init,152.0,863,328
slow,1,-1,state_init,154.0,863,328
slow,1,-1,state_init,157.0,863,328
slow,1,-1,state_init,159.0,863,328
slow,1,-1,state_init,162.0,863,328
slow,1,-1,state_init,164.0,863,328
slow,1,-1,state_init,166.0,863,328
slow,1,-1,state_init,169.0,863,328
slow,1,-1,state_init,171.0,863,328
slow,1,-1,state_init,174.0,863,328
slow,1,-1,state_init,176.0,863,328
slow,1,-1,state_init,179.0,863,328
slow,1,-1,state_init,181.0,863,328
slow,1,-1,state_init,183.0,863,328
slow,1,-1,state_init,186.0,863,328
slow,1,-1,state_init,200.0,863,328
slow,1,-1,state_init,203.0,863,328
slow,1,-1,state_init,205.0,863,328
slow,1,-1,state_init,208.0,863,328
slow,1,-1,state_init,210.0,863,328
slow,1,-1,state_init,212.0,863,328
slow,1,-1,state_init,215.0,863,328
slow,1,-1,state_init,217.0,863,328
slow,1,-1,state_init,219.0,863,328
slow,1,-1,state_init,222.0,863,328
slow,1,-1,state_init,232.0,863,328
slow,1,-1,state_init,235.0,863,328
slow,1,-1,state_init,237.0,863,328
slow,1,-1,state_init,240.0,863,328
slow,1,-1,state_init,242.0,863,328
slow,1,-1,state_init,245.0,863,328
slow,1,-1,state_init,247.0,863,328
slow,1,-1,state_init,252.0,863,328
slow,1,-1,state_init,254.0,863,328
slow,1,-1,state_init,258.0,863,328
slow,1,-1,state_init,260.0,863,328
slow,1,-1,state_init,263.0,863,328
slow,1,-1,state_init,268.0,863,328
slow,1,-1,state_init,270.0,863,328
slow,1,-1,state_init,273.0,863,328
slow,1,-1,state_init,275.0,863,328
slow,1,-1,state_init,278.0,863,328
slow,1,-1,state_init,280.0,863,328
slow,1,-1,state_init,282.0,863,328
slow,1,-1,state_init,285.0,863,328
slow,1,-1,state_init,300.0,863,328
slow,1,-1,state_init,303.0,863,328
slow,1,-1,state_init,305.0,863,328
slow,1,-1,state_init,308.0,863,328
slow,1,-1,state_init,310.0,863,328
slow,1,-1,state_init,313.0,863,328
slow,1,-1,state_init,315.0,863,328
slow,1,-1,state_init,318.0,863,328
slow,1,-1,state_init,322.0,863,328
slow,1,-1,state_init,325.0,863,328
slow,1,-1,state_init,328.0,863,328
slow,1,-1,state_init,333.0,863,328
slow,1,-1,state_init,335.0,863,328
slow,1,-1,state_init,339.0,863,328
slow,1,-1,state_init,341.0,863,328
slow,1,-1,state_init,344.0,863,328
slow,1,-1,state_init,346.0,863,328
slow,1,-1,state_init,349.0,863,328
slow,1,-1,state_init,351.0,863,328
slow,1,-1,state_init,354.0,863,328
slow,1,-1,state_init,366.0,863,328
slow,1,-1,state_init,368.0,863,328
slow,1,-1,state_init,371.0,863,328
slow,1,-1,state_init,374.0,863,328
slow,1,-1,state_init,376.0,863,328
slow,1,-1,state_init,379.0,863,328
slow,1,-1,state_init,382.0,863,328
slow,1,-1,state_init,385.0,863,328
slow,1,-1,state_init,388.0,863,328
slow,1,-1,state_init,390.0,863,328
slow,1,-1,state_init,393.0,863,328
slow,1,-1,state_init,396.0,863,328
slow,1,-1,state_init,399.0,863,328
slow,1,-1,state_init,403.0,863,328
slow,1,-1,state_init,417.0,863,328
slow,1,-1,state_init,419.0,863,328
slow,1,-1,state_init,432.0,863,328
slow,1,-1,state_init,435.0,863,328
slow,1,-1,state_init,438.0,863,328
slow,1,-1,state_init,440.0,863,328
slow,1,-1,state_init,443.0,863,328
slow,1,-1,state_init,445.0,863,328
slow,1,-1,state_init,447.0,863,328
slow,1,-1,state_init,450.0,863,328
slow,1,-1,state_init,453.0,863,328
slow,1,-1,state_init,455.0,863,328
slow,1,-1,state_init,457.0,863,328
slow,1,-1,state_init,460.0,863,328
slow,1,-1,state_init,462.0,863,328
slow,1,-1,state_init,465.0,863,328
slow,1,-1,state_init,467.0,863,328
slow,1,-1,state_init,469.0,863,328
slow,1,-1,state_init,472.0,863,328
slow,1,-1,state_init,474.0,863,328
slow,1,-1,state_init,476.0,863,328
slow,1,-1,state_init,479.0,863,328
slow,1,-1,state_init,481.0,863,328
slow,1,-1,state_init,483.0,863,328
slow,1,-1,state_init,488.0,863,328
slow,1,-1,state_init,490.0,863,328
slow,1,-1,state_init,493.0,863,328
slow,1,-1,state_init,496.0,863,328
slow,1,-1,state_init,498.0,863,328
slow,1,-1,state_init,500.0,863,328
slow,1,-1,state_init,503.0,863,328
slow,1,-1,state_init,505.0,863,328
slow,1,-1,state_init,507.0,863,328
slow,1,-1,state_init,512.0,863,328
slow,1,-1,state_init,514.0,863,328
slow,1,-1,state_init,517.0,863,328
slow,1,-1,state_init,520.0,863,328
slow,1,-1,state_init,522.0,863,328
slow,1,-1,state_init,524.0,863,328
slow,1,-1,state_init,527.0,863,328
slow,1,-1,state_init,529.0,863,328
slow,1,-1,state_init,531.0,863,328
slow,1,-1,state_init,534.0,863,328
slow,1,-1,state_init,536.0,863,328
slow,1,-1,state_init,538.0,863,328
slow,1,-1,state_init,541.0,863,328
slow,1,-1,state_init,543.0,863,328
slow,1,-1,state_init,548.0,863,328
slow,1,-1,state_init,550.0,863,328
slow,1,-1,state_init,552.0,863,328
slow,1,-1,state_init,555.0,863,328
slow,1,-1,state_init,557.0,863,328
slow,1,-1,state_init,559.0,863,328
slow,1,-1,state_init,562.0,863,328
slow,1,-1,state_init,564.0,863,328
slow,1,-1,state_init,567.0,863,328
slow,1,-1,state_init,569.0,863,328
slow,1,-1,state_init,571.0,863,328
slow,1,-1,state_init,574.0,863,328
slow,1,-1,state_init,576.0,863,328
slow,1,-1,state_init,578.0,863,328
slow,1,-1,state_init,581.0,863,328
slow,1,-1,state_init,583.0,863,328
slow,1,-1,state_init,586.0,863,328
slow,1,-1,state_init,588.0,863,328
slow,1,-1,state_init,590.0,863,328
slow,1,-1,state_init,593.0,863,328
slow,1,-1,state_init,595.0,863,328
slow,1,-1,state_init,598.0,863,328
slow,1,-1,state_init,600.0,863,328
slow,1,-1,state_init,602.0,863,328
slow,1,-1,state_init,605.0,863,328
slow,1,-1,state_init,607.0,863,328
slow,1,-1,state_init,609.0,863,328
slow,1,-1,state_init,612.0,863,328
slow,1,-1,state_init,616.0,863,328
slow,1,-1,state_init,619.0,863,328
slow,1,-1,state_init,622.0,863,328
slow,1,-1,state_init,624.0,863,328
slow,1,-1,state_init,626.0,863,328
slow,1,-1,state_init,629.0,863,328
slow,1,-1,state_init,631.0,863,328
slow,1,-1,state_init,633.0,863,328
slow,1,-1,state_init,636.0,863,328
slow,1,-1,state_init,638.0,863,328
slow,1,-1,state_init,641.0,863,328
slow,1,-1,state_init,644.0,863,328
slow,1,-1,state_init,647.0,863,328
slow,1,-1,state_init,651.0,863,328
slow,1,-1,state_init,653.0,863,328
slow,1,-1,state_init,656.0,863,328
slow,1,-1,state_init,658.0,863,328
slow,1,-1,state_init,661.0,863,328
slow,1,-1,state_init,665.0,863,328
slow,1,-1,state_init,667.0,863,328
slow,1,-1,state_init,670.0,863,328
slow,1,-1,state_init,673.0,863,328
slow,1,-1,state_init,676.0,863,328
slow,1,-1,state_init,679.0,863,328
slow,1,-1,state_init,681.0,863,328
slow,1,-1,state_init,685.0,863,328
slow,1,-1,state_init,688.0,863,328
slow,1,-1,state_init,691.0,863,328
slow,1,-1,state_init,694.0,863,328
slow,1,-1,state_init,697.0,863,328
slow,1,-1,state_init,700.0,863,328
slow,1,-1,state_init,703.0,863,328
slow,1,-1,state_init,706.0,863,328
slow,1,-1,state_init,708.0,863,328
slow,1,-1,state_init,710.0,863,328
slow,1,-1,state_init,714.0,863,328
slow,1,-1,state_init,717.0,863,328
slow,1,-1,state_init,719.0,863,328
slow,1,-1,state_init,723.0,863,328
slow,1,-1,state_init,726.0,863,328
slow,1,-1,state_init,729.0,863,328
slow,1,-1,state_init,731.0,863,328
slow,1,-1,state_init,734.0,863,328
slow,1,-1,state_init,738.0,863,328
slow,1,-1,state_init,741.0,863,328
slow,1,-1,state_init,744.0,863,328
slow,1,-1,state_init,747.0,863,328
slow,1,-1,state_init,750.0,863,328
slow,1,-1,state_init,753.0,863,328
slow,1,-1,state_init,755.0,863,328
slow,1,-1,state_init,758.0,863,328
slow,1,-1,state_init,762.0,863,328
slow,1,-1,state_init,765.0,863,328
slow,1,-1,state_init,768.0,863,328
slow,1,-1,state_init,771.0,863,328
slow,1,-1,state_init,774.0,863,328
slow,1,-1,state_init,777.0,863,328
slow,1,-1,state_init,780.0,863,328
slow,1,-1,state_init,783.0,863,328
slow,1,-1,state_init,786.0,863,328
slow,1,-1,state_init,790.0,863,328
slow,1,-1,state_init,793.0,863,328
slow,1,-1,state_init,796.0,863,328
slow,1,-1,state_init,799.0,863,328
slow,1,-1,state_init,801.0,863,328
slow,1,-1,state_init,804.0,863,328
slow,1,-1,state_init,807.0,863,328
slow,1,-1,state_init,810.0,863,328
slow,1,-1,state_init,814.0,863,328
slow,1,-1,state_init,816.0,863,328
slow,1,-1,state_init,818.0,863,328
slow,1,-1,state_init,821.0,863,328
slow,1,-1,state_init,824.0,863,328
slow,1,-1,state_init,828.0,863,328
slow,1,-1,state_init,831.0,863,328
slow,1,-1,state_init,833.0,863,328
slow,1,-1,state_init,836.0,863,328
slow,1,-1,state_init,838.0,863,328
slow,1,-1,state_init,842.0,863,328
slow,1,-1,state_init,845.0,863,328
slow,1,-1,state_init,847.0,863,328
slow,1,-1,state_init,850.0,863,328
slow,1,-1,state_init,853.0,863,328
slow,1,-1,state_init,856.0,863,328
slow,1,-1,state_init,859.0,863,328
slow,1,-1,state_init,862.0,863,328
slow,1,-1,state_init,864.0,863,328
slow,1,-1,state_init,867.0,863,328
slow,1,-1,state_init,869.0,863,328
slow,1,-1,state_init,873.0,863,328
slow,1,-1,state_init,876.0,863,328
slow,1,-1,state_init,878.0,863,328
slow,1,-1,state_init,881.0,863,328
slow,1,-1,state_init,884.0,863,328
slow,1,-1,state_init,887.0,863,328
slow,1,-1,state_init,890.0,863,328
slow,1,-1,state_init,893.0,863,328
slow,1,-1,state_init,896.0,863,328
slow,1,-1,state_init,899.0,863,328
slow,1,-1,state_init,902.0,863,328
slow,1,-1,state_init,905.0,863,328
slow,1,-1,state_init,908.0,863,328
slow,1,-1,state_init,911.0,863,328
slow,1,-1,state_init,913.0,863,328
slow,1,-1,state_init,916.0,863,328
slow,1,-1,state_init,920.0,863,328
slow,1,-1,state_init,922.0,863,328
slow,1,-1,state_init,924.0,863,328
slow,1,-1,state_init,927.0,863,328
slow,1,-1,state_init,931.0,863,328
slow,1,-1,state_init,933.0,863,328
slow,1,-1,state_init,936.0,863,328
slow,1,-1,state_init,939.0,863,328
slow,1,-1,state_init,942.0,863,328
slow,1,-1,state_init,945.0,863,328
slow,1,-1,state_init,948.0,863,328
slow,1,-1,state_init,950.0,863,328
slow,1,-1,state_init,952.0,863,328
slow,1,-1,state_init,955.0,863,328
slow,1,-1,state_init,958.0,863,328
slow,1,-1,state_init,961.0,863,328
slow,1,-1,state_init,964.0,863,328
slow,1,-1,state_init,967.0,863,328
slow,1,-1,state_init,969.0,863,328
slow,1,-1,state_init,972.0,863,328
slow,1,-1,state_init,975.0,863,328
slow,1,-1,state_init,978.0,863,328
slow,1,-1,state_init,981.0,863,328
slow,1,-1,state_init,984.0,863,328
slow,1,-1,state_init,986.0,863,328
slow,1,-1,state_init,989.0,863,328
slow,1,-1,state_init,992.0,863,328
slow,1,-1,state_init,995.0,863,328
slow,1,-1,state_init,998.0,863,328
slow,1,-1,state_init,1001.0,863,328
slow,1,-1,state_init,1004.0,863,328
slow,1,-1,state_init,1007.0,863,328
slow,1,-1,state_init,1009.0,863,328
slow,1,-1,state_init,1012.0,863,328
slow,1,-1,state_init,1015.0,863,328
slow,1,-1,state_init,1018.0,863,328
slow,1,-1,state_init,1020.0,863,328
slow,1,-1,state_init,1022.0,863,328
slow,1,-1,state_init,1025.0,863,328
slow,1,-1,state_init,1028.0,863,328
slow,1,-1,state_init,1031.0,863,328
slow,1,-1,state_init,1033.0,863,328
slow,1,-1,state_init,1036.0,863,328
slow,1,-1,state_init,1039.0,863,328
slow,1,-1,state_init,1042.0,863,328
slow,1,-1,state_init,1045.0,863,328
slow,1,-1,state_init,1048.0,863,328
slow,1,-1,state_init,1051.0,863,328
slow,1,-1,state_init,1053.0,863,328
slow,1,-1,state_init,1056.0,863,328
slow,1,-1,state_init,1060.0,863,328
slow,1,-1,state_init,1063.0,863,328
slow,1,-1,state_init,1066.0,863,328
slow,1,-1,state_init,1069.0,863,328
slow,1,-1,state_init,1072.0,863,328
slow,1,-1,state_init,1075.0,863,328
slow,1,-1,state_init,1078.0,863,328
slow,1,-1,state_init,1080.0,863,328
slow,1,-1,state_init,1083.0,863,328
slow,1,-1,state_init,1087.0,863,328
slow,1,-1,state_init,1090.0,863,328
slow,1,-1,state_init,1093.0,863,328
slow,1,-1,state_init,1096.0,863,328
slow,1,-1,state_init,1098.0,863,328
slow,1,-1,state_init,1101.0,863,328
slow,1,-1,state_init,1104.0,863,328
slow,1,-1,state_init,1106.0,863,328
slow,1,-1,state_iti,1110.0,863,328
slow,1,-1,state_iti,1119.0,863,328
slow,1,-1,state_iti,1121.0,863,328
slow,1,-1,state_iti,1123.0,863,328
slow,1,-1,state_iti,1126.0,863,328
slow,1,-1,state_iti,1129.0,863,328
slow,1,-1,state_iti,1131.0,863,328
slow,1,-1,state_iti,1134.0,863,328
slow,1,-1,state_iti,1137.0,863,328
slow,1,-1,state_iti,1140.0,863,328
slow,1,-1,state_iti,1142.0,863,328
slow,1,-1,state_iti,1145.0,863,328
slow,1,-1,state_iti,1148.0,863,328
slow,1,-1,state_iti,1151.0,863,328
slow,1,-1,state_iti,1153.0,863,328
slow,1,-1,state_iti,1156.0,863,328
slow,1,-1,state_iti,1160.0,863,328
slow,1,-1,state_iti,1163.0,863,328
slow,1,-1,state_iti,1165.0,863,328
slow,1,-1,state_iti,1169.0,863,328
slow,1,-1,state_iti,1171.0,863,328
slow,1,-1,state_iti,1174.0,863,328
slow,1,-1,state_iti,1176.0,863,328
slow,1,-1,state_iti,1179.0,863,328
slow,1,-1,state_iti,1182.0,863,328
slow,1,-1,state_iti,1184.0,863,328
slow,1,-1,state_iti,1187.0,863,328
slow,1,-1,state_iti,1190.0,863,328
slow,1,-1,state_iti,1193.0,863,328
slow,1,-1,state_iti,1196.0,863,328
slow,1,-1,state_iti,1198.0,863,328
slow,1,-1,state_iti,1201.0,863,328
slow,1,-1,state_iti,1205.0,863,328
slow,1,-1,state_iti,1207.0,863,328
slow,1,-1,state_iti,1210.0,863,328
slow,1,-1,state_iti,1212.0,863,328
slow,1,-1,state_iti,1216.0,863,328
slow,1,-1,state_iti,1219.0,863,328
slow,1,-1,state_iti,1221.0,863,328
slow,1,-1,state_iti,1224.0,863,328
slow,1,-1,state_iti,1226.0,863,328
slow,1,-1,state_iti,1229.0,863,328
slow,1,-1,state_iti,1232.0,863,328
slow,1,-1,state_iti,1235.0,863,328
slow,1,-1,state_iti,1238.0,863,328
slow,1,-1,state_iti,1240.0,863,328
slow,1,-1,state_iti,1244.0,863,328
slow,1,-1,state_iti,1247.0,863,328
slow,1,-1,state_iti,1249.0,863,328
slow,1,-1,state_iti,1252.0,863,328
slow,1,-1,state_iti,1255.0,863,328
slow,1,-1,state_iti,1257.0,863,328
slow,1,-1,state_iti,1259.0,863,328
slow,1,-1,state_iti,1262.0,863,328
slow,1,-1,state_iti,1266.0,863,328
slow,1,-1,state_iti,1269.0,863,328
slow,1,-1,state_iti,1271.0,863,328
slow,1,-1,state_iti,1274.0,863,328
slow,1,-1,state_iti,1277.0,863,328
slow,1,-1,state_iti,1281.0,863,328
slow,1,-1,state_iti,1283.0,863,328
slow,1,-1,state_iti,1286.0,863,328
slow,1,-1,state_iti,1289.0,863,328
slow,1,-1,state_iti,1292.0,863,328
slow,1,-1,state_iti,1295.0,863,328
slow,1,-1,state_iti,1297.0,863,328
slow,1,-1,state_iti,1300.0,863,328
slow,1,-1,state_iti,1303.0,863,328
slow,1,-1,state_iti,1306.0,863,328
slow,1,-1,state_iti,1310.0,863,328
