condition,subject,su,trial,delta_imv,fb_int,err_mp,err_mp_prev
fast,2,low,8,3.518945806736781,-1.137204061529701,-0.41432180800757124,3.1046239987292097
fast,2,low,10,-3.1774301213199436,3.7131586545015267,5.0457061295014825,1.8682760081815388
fast,2,low,11,7.704476240240169,-5.371143318451061,-2.6587701107386863,5.0457061295014825
fast,2,low,17,3.9987959113441747,-11.737954097015034,-10.772068181942743,-6.773272270598568
fast,2,low,19,1.1899334252055667,-2.5014764019829414,0.3644689494850155,1.5544023746905822
fast,2,low,20,-2.679118792961603,0.4659153463243797,3.0435877424466184,0.3644689494850155
fast,2,low,24,12.425726214113212,-9.704732302130864,-7.950193282553201,4.475532931560011
fast,2,low,26,0.8321091792784756,-11.841618581002876,-7.220287554008053,-6.388178374729577
fast,2,low,31,4.298639571978271,-4.812518768075762,-1.5178901452118083,2.7807494267664623
fast,2,low,33,-3.8651792701421357,-6.889577993585988,-2.420792400119751,-6.285971670261887
fast,2,low,41,0.743766929427963,-0.839489266144767,0.14702426856116801,0.890791197989131
fast,2,low,46,-14.169648269172427,-1.64479706467597,1.191255066883727,-12.9783932022887
fast,2,low,47,13.105034482289938,-18.265912247098967,-11.91377941540621,1.191255066883727
fast,2,low,51,-1.9694972163517264,5.485846883953187,7.019408979284691,5.049911762932965
fast,2,low,53,2.1611704601344144,-7.157879237231711,-6.227495380353005,-4.066324920218591
fast,2,low,70,-20.751696579069275,6.97591552382211,12.564404978163509,-8.187291600905766
fast,2,low,79,-2.921781579841749,3.413301570154161,6.459751623544039,8.121632404748874
fast,2,low,82,-1.8048747210606138,-2.5716592463375747,7.763055878133159,1.37451879602596
fast,2,low,88,14.216256024674252,-12.980417910468049,-4.267805060246889,11.094366554689008
fast,2,low,90,-7.45667725700261,3.1638272395794473,8.969676501927545,-1.9247475258600053
fast,2,low,108,-2.3075115274554037,-1.523899926198979,14.291701267986227,9.119400764876708
fast,2,low,110,-19.958376948389684,0.3782995928948907,13.300693262856583,-14.679092817364626
fast,2,low,112,6.978751283060433,-6.894564528723592,3.744854434949893,6.139943356963743
fast,2,low,117,-0.328594123073799,-7.47193340540862,-7.458065653831238,1.3806649451881334
fast,2,low,129,0.26657495480897353,-4.931868655054274,4.276610415272922,3.970227574951073
fast,2,low,130,-6.392465458909001,0.6568479790061446,13.53386484983604,4.276610415272922
fast,2,low,133,-5.133996686240081,-7.850091314638561,7.6027530063981565,-11.855188558112504
fast,2,low,137,-6.258225649703192,-3.111934302645267,9.08168040868555,-5.197954372849166
fast,2,low,138,-5.824453733679277,3.28082765856432,10.322471781318244,9.08168040868555
fast,2,low,142,1.8702482467628982,-11.453652367970363,-6.771994484953826,-7.193577418714219
fast,2,low,145,-1.176581059502766,-8.497454319818289,-5.6968026721744165,-4.008594756023065
fast,2,low,149,12.732055849390974,-12.179929745099656,1.2520464478267659,20.286638043656794
fast,2,mid,0,-1.429219666501993,0.46221555793223956,1.429219666501993,
fast,2,mid,1,-1.5087982668006532,-0.38960346304173754,2.938017933302646,1.429219666501993
fast,2,mid,5,-1.7223316896209013,4.614659257396255,5.561169995778755,3.8388383061578537
fast,2,mid,13,2.812726186495084,-4.838848093261575,-1.1272232580230082,1.6855029284720757
fast,2,mid,14,0.940681371270017,-3.2013956180099115,-2.067904629293025,-1.1272232580230082
fast,2,mid,28,9.570253605548317,-15.588984981134232,-11.625948382766168,-2.0556947772178518
fast,2,mid,29,-16.66705933729436,-1.546325328948896,5.041110954528193,-11.625948382766168
fast,2,mid,34,-7.444929200033826,0.27961817002019984,5.024136799914075,-2.420792400119751
fast,2,mid,37,-4.782520228613365,-3.176115574879205,2.4143458674362677,-2.368174361177097
fast,2,mid,42,1.956348456827783,-5.426733312719563,-1.809324188266615,0.14702426856116801
fast,2,mid,44,-4.628616172636669,2.218923150662448,4.068267485842938,-0.5603486867937306
fast,2,mid,45,17.046660688131638,-15.031149124116368,-12.9783932022887,4.068267485842938
fast,2,mid,48,-16.995330024093477,2.4225446180169143,5.081550608687266,-11.91377941540621
fast,2,mid,54,-14.580932129168062,7.495062387395961,8.353436748815056,-6.227495380353005
fast,2,mid,55,16.755204579538443,-7.179292892728469,-8.401767830723387,8.353436748815056
fast,2,mid,57,-8.001519784201435,-5.88395153416684,-3.007816783011762,-11.009336567213197
fast,2,mid,60,3.723960772183247,-5.336261091529735,-3.521529828830367,0.20243094335287992
fast,2,mid,71,24.91917940219726,-12.510298433827955,-12.35477442403375,12.564404978163509
fast,2,mid,75,2.4926534608215434,-5.965279204336113,4.801407802997783,-3.0191790485354915
fast,2,mid,80,11.696615546297252,-9.204292506205093,-1.2261593568374511,6.459751623544039
fast,2,mid,83,3.1596946110403366,-6.332070455806061,8.041108037877759,7.763055878133159
fast,2,mid,91,-5.169282174749256,5.835847043577189,22.73332560363915,8.969676501927545
fast,2,mid,92,19.776369935387734,-9.731804026040109,-1.6267066927951728,22.73332560363915
fast,2,mid,94,3.2997728627661047,-3.070609370649862,5.015723338563847,10.03436958672242
fast,2,mid,98,-4.511981228969944,2.342200789228187,8.55139882005705,4.039417591087107
fast,2,mid,100,-8.333638409808643,-0.6309311835420601,14.591449634040146,-4.055429088123317
fast,2,mid,101,3.429266339168265,-5.992879542807842,2.567816367909531,14.591449634040146
fast,2,mid,102,14.361540238772932,-17.05950577159811,-10.647808280601756,2.567816367909531
fast,2,mid,109,15.219807002211098,-16.219503390909722,-14.679092817364626,14.291701267986227
fast,2,mid,115,-4.468227643666211,-0.32916589888978365,4.366877683457078,6.201185786229921
fast,2,mid,118,-17.14972130794196,8.610389182844045,18.858980376203892,-7.458065653831238
fast,2,mid,120,11.337679641122747,-14.187152972387054,-6.896549723601245,4.441129917521502
fast,2,mid,121,-5.819877998166646,-7.7426487327521585,-5.660334086481184,-6.896549723601245
fast,2,mid,125,-15.466797506421827,1.5427464410988705,14.271057482547405,-1.1957400238744214
fast,2,mid,134,4.336642157389704,-5.587267606612883,3.839068644139278,7.6027530063981565
fast,2,mid,141,3.5658116864340883,-7.478905916277824,-7.193577418714219,4.393643399551394
fast,2,high,6,4.471074247312231,-0.18345659211179566,1.0900957484665241,5.561169995778755
fast,2,high,7,-2.0145282502626856,0.9029005354110637,3.1046239987292097,1.0900957484665241
fast,2,high,12,-4.344273039210762,-2.462833570835926,1.6855029284720757,-2.6587701107386863
fast,2,high,15,8.185007918259444,-12.320694970678915,-10.25291254755247,-2.067904629293025
fast,2,high,16,-3.4796402769539014,-9.275146469811162,-6.773272270598568,-10.25291254755247
fast,2,high,21,1.7132892048525008,-4.677775047000253,1.3302985375941176,3.0435877424466184
fast,2,high,22,9.719698897595762,-8.90876506883339,-8.389400360001645,1.3302985375941176
fast,2,high,25,-1.5620149078236238,-8.133095346541808,-6.388178374729577,-7.950193282553201
fast,2,high,30,2.260361527761731,-0.9074209003213269,2.7807494267664623,5.041110954528193
fast,2,high,38,-6.375797558582917,1.5540703017236694,8.790143426019185,2.4143458674362677
fast,2,high,39,21.960692332621605,-16.63857918058335,-13.17054890660242,8.790143426019185
fast,2,high,43,-1.2489755014728843,-1.0811098705276976,-0.5603486867937306,-1.809324188266615
fast,2,high,50,-1.8821538294515108,2.599149928535695,5.049911762932965,3.167757933481454
fast,2,high,58,-6.413547929425292,-0.4781777585706237,3.4057311464135296,-3.007816783011762
fast,2,high,59,3.2033002030606497,-1.1282582420653569,0.20243094335287992,3.4057311464135296
fast,2,high,61,4.826166182003462,-8.321611862439894,-8.347696010833829,-3.521529828830367
fast,2,high,63,-1.123268632345841,-6.933446017858955,-9.70963692557099,-10.832905557916831
fast,2,high,64,-8.906420014806486,-4.642025328404273,-0.8032169107645046,-9.70963692557099
fast,2,high,67,2.7546303473464775,-7.773733113005491,-8.254873807878482,-5.500243460532005
fast,2,high,69,4.582535034798212,-10.670690674179397,-8.187291600905766,-3.604756566107554
fast,2,high,72,-9.312348666133218,-2.30418333750292,-3.0424257579005314,-12.35477442403375
fast,2,high,74,4.9799261237925805,-4.443955925213189,-3.0191790485354915,1.960747075257089
fast,2,high,77,23.699962527342592,-17.00502444269732,-5.3440320370709795,18.928888285402437
fast,2,high,78,-15.184537827212324,2.174024456917408,8.121632404748874,-5.3440320370709795
