condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,instruct_phase,instruct_state
low,34,1,baseline_no_fb,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7674120029916662,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0
low,34,2,baseline_no_fb,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7187631156844472,,1.0
low,34,3,baseline_no_fb,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22138798055088,,1.0
low,34,4,baseline_no_fb,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612316531779593,,1.0
low,34,5,baseline_no_fb,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818045795731862,,1.0
low,34,6,baseline_no_fb,1,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.850978541656834,,1.0
low,34,7,baseline_no_fb,1,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.040433497058413,,1.0
low,34,8,baseline_no_fb,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.779139806606221,,1.0
low,34,9,baseline_no_fb,2,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.865030787418148,,1.0
low,34,10,baseline_no_fb,2,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3661007117924332,,1.0
low,34,11,baseline_no_fb,2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.268282877416364,,1.0
low,34,12,baseline_no_fb,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.175573905098643,,1.0
low,34,13,baseline_no_fb,2,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.379220750103599,,1.0
low,34,14,baseline_no_fb,2,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93960547275764,,1.0
low,34,15,baseline_continuous_fb,1,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.155962764146424,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,16,baseline_continuous_fb,1,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.732715485852466,,1.0
low,34,17,baseline_continuous_fb,1,120,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0731153366858737,,1.0
low,34,18,baseline_continuous_fb,1,105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.769949547023299,,1.0
low,34,19,baseline_continuous_fb,1,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.822652724368982,,1.0
low,34,20,baseline_continuous_fb,1,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.223930148906343,,1.0
low,34,21,baseline_continuous_fb,1,135,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7358817438266945,,1.0
low,34,22,baseline_continuous_fb,2,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8210388191588303,,1.0
low,34,23,baseline_continuous_fb,2,105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0722109776050852,,1.0
low,34,24,baseline_continuous_fb,2,135,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.4240609925750647,,1.0
low,34,25,baseline_continuous_fb,2,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.007965778008573,,1.0
low,34,26,baseline_continuous_fb,2,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.430201770491948,,1.0
low,34,27,baseline_continuous_fb,2,120,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.9877957859054243,,1.0
low,34,28,baseline_continuous_fb,2,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5176089378228552,,1.0
low,34,29,baseline_endpoint_fb,1,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.08791494759719,"You will now only see the cursor only at the endpoint of your reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,30,baseline_endpoint_fb,1,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3377787143538804,,1.0
low,34,31,baseline_endpoint_fb,1,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.5219902484994,,1.0
low,34,32,baseline_endpoint_fb,1,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.23192150943826,,1.0
low,34,33,baseline_endpoint_fb,1,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.809143338128347,,1.0
low,34,34,baseline_endpoint_fb,1,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.902309233085879,,1.0
low,34,35,baseline_endpoint_fb,1,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.761940225941025,,1.0
low,34,36,baseline_endpoint_fb,2,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0933591353096186,,1.0
low,34,37,baseline_endpoint_fb,2,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.56223492782258,,1.0
low,34,38,baseline_endpoint_fb,2,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.055419592028315,,1.0
low,34,39,baseline_endpoint_fb,2,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1418164017184222,,1.0
low,34,40,baseline_endpoint_fb,2,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.356111252861497,,1.0
low,34,41,baseline_endpoint_fb,2,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6053531196255787,,1.0
low,34,42,baseline_endpoint_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4193343228387274,,1.0
low,34,43,baseline_mixed_fb,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6411641483478747,"You will now only see the cursor at the endpoint of your reach on some trials.
On the other trials you will not recieve feedback at all.
Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,44,baseline_mixed_fb,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06267573840653473,,1.0
low,34,45,baseline_mixed_fb,1,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.688381694247398,,1.0
low,34,46,baseline_mixed_fb,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2869503358190102,,1.0
low,34,47,baseline_mixed_fb,1,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249437455610877,,1.0
low,34,48,baseline_mixed_fb,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9655531000821949,,1.0
low,34,49,baseline_mixed_fb,1,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.545393076335563,,1.0
low,34,50,baseline_mixed_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1877930204208855,,1.0
low,34,51,baseline_mixed_fb,2,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9508053456587193,,1.0
low,34,52,baseline_mixed_fb,2,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.72275548741041,,1.0
low,34,53,baseline_mixed_fb,2,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.997432165172335,,1.0
low,34,54,baseline_mixed_fb,2,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.56353016145206,,1.0
low,34,55,baseline_mixed_fb,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026611163487104815,,1.0
low,34,56,baseline_mixed_fb,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19978137587196,,1.0
low,34,57,generalisation,1,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.916475939447658,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,58,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.00597190218434,,1.0
low,34,59,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.59601667539677,,1.0
low,34,60,generalisation,1,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.927443333311583,,1.0
low,34,61,generalisation,1,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.934278665775878,,1.0
low,34,62,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.609123539467767,,1.0
low,34,63,generalisation,1,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.14951973984129,,1.0
low,34,64,generalisation,1,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.505643372265826,,1.0
low,34,65,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.053027383342897,,1.0
low,34,66,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.485507296460284,,1.0
low,34,67,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.96274688829038,,1.0
low,34,68,generalisation,1,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.969941972338987,,1.0
low,34,69,generalisation,2,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.60715827394011,,1.0
low,34,70,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.593222820433027,,1.0
low,34,71,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.01683865103087,,1.0
low,34,72,generalisation,2,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.350505921976143,,1.0
low,34,73,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.10233348189915,,1.0
low,34,74,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.457883804552225,,1.0
low,34,75,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.049031164554,,1.0
low,34,76,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.841808871338706,,1.0
low,34,77,generalisation,2,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.75669045799755,,1.0
low,34,78,generalisation,2,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.51499680799452,,1.0
low,34,79,generalisation,2,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.33294055182583,,1.0
low,34,80,generalisation,2,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.82362634092168,,1.0
low,34,81,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.857644756222655,,1.0
low,34,82,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.122333236709693,,1.0
low,34,83,generalisation,3,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.608721335909834,,1.0
