,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385588489087873,1,1,100,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0,114.96278983080703,0.09978049999972427,0.6178512000001319
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7523968665515192,2,1,90,,1.0,83.78931092558047,0.08394719999978406,0.5003148000000692
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.749785069097473,3,1,85,,1.0,78.90935046658068,0.10047130000020843,0.55071850000013
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.144274070548411,4,1,80,,1.0,76.50426671920418,0.11650430000008782,0.4831248999998934
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0866081341935256,5,1,95,,1.0,111.00322271143426,0.11700740000014775,0.5669511999999486
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.745106484084097,6,2,85,,1.0,88.79395122078004,0.0989263999999821,0.5668738000003941
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5593024568040232,7,2,100,,1.0,111.98363079682646,0.10022799999978815,0.5504508000003625
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5527692691542594,8,2,80,,1.0,71.27421215472744,0.09975159999976313,0.5495368999995662
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662790274223465,9,2,95,,1.0,112.22503045111355,0.11648609999974724,0.6172676999999567
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8982007299968354,10,2,90,,1.0,86.31772593769472,0.11630030000014813,0.5170262999999977
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.951269362820856,11,1,90,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0,79.8286753028917,0.11640600000009727,0.45084410000026764
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5412730832012966,12,1,80,,1.0,72.07208023799276,0.11667380000017147,0.5326648000000205
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.865793971279935,13,1,100,,1.0,118.32121123800879,0.1163947999998527,0.7668807000000015
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.496631285914767,14,1,95,,1.0,105.44094220129577,0.11747729999979128,0.6668838999999025
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.568748831063617,15,1,85,,1.0,78.21863730220214,0.11660859999983586,0.5669996999999967
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.767058868713143,16,2,95,,1.0,103.02799945245044,0.1338143000002674,0.5505314000001817
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.041703085892137,17,2,85,,1.0,77.59258147259926,0.11631330000000162,0.5167010999998638
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.721770073582763,18,2,90,,1.0,88.5227858085068,0.11598640000011073,0.7328990999999405
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.988155205665191,19,2,100,,1.0,120.6704814876932,0.1163973999996415,0.5839734999999564
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3816777463752574,20,2,80,,1.0,79.80849814997231,0.10010169999986829,0.4180765999999494
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.981614852329695,21,1,95,"You will now only see the cursor only at the endpoint of your reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0,97.35237935989237,0.1167979000001651,0.5662686999999096
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.405916371201648,22,1,90,,1.0,85.83129430860187,0.11649600000009741,0.6671990999998343
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1338833175773888,23,1,80,,1.0,74.99212477948927,0.13288590000001932,0.4999453000000358
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.856814808669451,24,1,85,,1.0,78.98419112056422,0.11573829999997542,0.634411099999852
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.447286492654417,25,1,100,,1.0,113.84489903292905,0.1331918000000769,0.44934620000003633
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2742614412800406,26,2,95,,1.0,103.88466768525818,0.11724500000036642,0.4832282000002124
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.932153363018151,27,2,100,,1.0,109.72496103047389,0.13320740000017395,0.4503898000002664
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7267463358991075,28,2,90,,1.0,88.72065430762395,0.11667929999975968,0.4665037999998276
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5911549927550497,29,2,85,,1.0,78.33122599963106,0.11625610000010056,0.43333110000003217
