condition,subject,trial,state,t,x,y
interleaved,2,1,state_init,0.0,943,159
interleaved,2,1,state_init,3.0,943,159
interleaved,2,1,state_init,6.0,943,159
interleaved,2,1,state_init,8.0,943,159
interleaved,2,1,state_init,22.0,943,159
interleaved,2,1,state_init,55.0,943,159
interleaved,2,1,state_init,90.0,943,159
interleaved,2,1,state_init,93.0,943,159
interleaved,2,1,state_init,96.0,943,159
interleaved,2,1,state_init,98.0,943,159
interleaved,2,1,state_init,101.0,943,159
interleaved,2,1,state_init,103.0,943,159
interleaved,2,1,state_init,106.0,943,159
interleaved,2,1,state_init,108.0,943,159
interleaved,2,1,state_init,111.0,943,159
interleaved,2,1,state_init,113.0,943,159
interleaved,2,1,state_init,116.0,943,159
interleaved,2,1,state_init,119.0,943,159
interleaved,2,1,state_init,121.0,943,159
interleaved,2,1,state_init,124.0,943,159
interleaved,2,1,state_init,126.0,943,159
interleaved,2,1,state_init,129.0,943,159
interleaved,2,1,state_init,132.0,943,159
interleaved,2,1,state_init,136.0,943,159
interleaved,2,1,state_init,138.0,943,159
interleaved,2,1,state_init,141.0,943,159
interleaved,2,1,state_init,143.0,943,159
interleaved,2,1,state_init,146.0,943,159
interleaved,2,1,state_init,148.0,943,159
interleaved,2,1,state_init,150.0,943,159
interleaved,2,1,state_init,152.0,943,159
interleaved,2,1,state_init,155.0,943,159
interleaved,2,1,state_init,157.0,943,159
interleaved,2,1,state_init,159.0,943,159
interleaved,2,1,state_init,162.0,943,159
interleaved,2,1,state_init,164.0,943,159
interleaved,2,1,state_init,167.0,943,159
interleaved,2,1,state_init,169.0,943,159
interleaved,2,1,state_init,171.0,943,159
interleaved,2,1,state_init,174.0,943,159
interleaved,2,1,state_init,176.0,943,159
interleaved,2,1,state_init,178.0,943,159
interleaved,2,1,state_init,181.0,943,159
interleaved,2,1,state_init,183.0,943,159
interleaved,2,1,state_init,185.0,943,159
interleaved,2,1,state_init,187.0,943,159
interleaved,2,1,state_init,192.0,943,159
interleaved,2,1,state_init,194.0,943,159
interleaved,2,1,state_init,196.0,943,159
interleaved,2,1,state_init,199.0,943,159
interleaved,2,1,state_init,202.0,943,159
interleaved,2,1,state_init,206.0,943,159
interleaved,2,1,state_init,209.0,943,159
interleaved,2,1,state_init,212.0,943,159
interleaved,2,1,state_init,215.0,943,159
interleaved,2,1,state_init,218.0,943,159
interleaved,2,1,state_init,221.0,943,159
interleaved,2,1,state_init,223.0,943,159
interleaved,2,1,state_init,227.0,943,159
interleaved,2,1,state_init,229.0,943,159
interleaved,2,1,state_init,232.0,943,159
interleaved,2,1,state_init,235.0,943,159
interleaved,2,1,state_init,238.0,943,159
interleaved,2,1,state_init,241.0,943,159
interleaved,2,1,state_init,244.0,943,159
interleaved,2,1,state_init,248.0,943,159
interleaved,2,1,state_init,251.0,943,159
interleaved,2,1,state_init,254.0,943,159
interleaved,2,1,state_init,257.0,943,159
interleaved,2,1,state_init,260.0,943,159
interleaved,2,1,state_init,263.0,943,159
interleaved,2,1,state_init,266.0,943,159
interleaved,2,1,state_init,269.0,943,159
interleaved,2,1,state_init,272.0,943,159
interleaved,2,1,state_init,275.0,943,159
interleaved,2,1,state_init,278.0,943,159
interleaved,2,1,state_init,281.0,943,159
interleaved,2,1,state_init,284.0,943,159
interleaved,2,1,state_init,287.0,943,159
interleaved,2,1,state_init,290.0,943,159
interleaved,2,1,state_init,293.0,943,159
interleaved,2,1,state_init,296.0,943,159
interleaved,2,1,state_init,299.0,943,159
interleaved,2,1,state_init,302.0,943,159
interleaved,2,1,state_init,305.0,943,159
interleaved,2,1,state_init,307.0,943,159
interleaved,2,1,state_init,310.0,943,159
interleaved,2,1,state_init,314.0,943,159
interleaved,2,1,state_init,317.0,943,159
interleaved,2,1,state_init,320.0,943,159
interleaved,2,1,state_init,323.0,943,159
interleaved,2,1,state_init,326.0,943,159
interleaved,2,1,state_init,328.0,943,159
interleaved,2,1,state_init,331.0,943,159
interleaved,2,1,state_init,334.0,943,159
interleaved,2,1,state_init,337.0,943,159
interleaved,2,1,state_init,340.0,943,159
interleaved,2,1,state_init,343.0,943,159
interleaved,2,1,state_init,346.0,943,159
interleaved,2,1,state_init,349.0,943,159
interleaved,2,1,state_init,352.0,943,159
interleaved,2,1,state_init,354.0,943,159
interleaved,2,1,state_init,357.0,943,159
interleaved,2,1,state_init,360.0,943,159
interleaved,2,1,state_init,363.0,943,159
interleaved,2,1,state_init,367.0,943,159
interleaved,2,1,state_init,369.0,943,159
interleaved,2,1,state_init,372.0,943,159
interleaved,2,1,state_init,375.0,943,159
interleaved,2,1,state_init,378.0,943,159
interleaved,2,1,state_init,381.0,943,159
interleaved,2,1,state_init,384.0,943,159
interleaved,2,1,state_init,386.0,943,159
interleaved,2,1,state_init,389.0,943,159
interleaved,2,1,state_init,392.0,943,159
interleaved,2,1,state_init,395.0,943,159
interleaved,2,1,state_init,398.0,943,159
interleaved,2,1,state_init,401.0,943,159
interleaved,2,1,state_init,404.0,943,159
interleaved,2,1,state_init,406.0,943,159
interleaved,2,1,state_init,409.0,943,159
interleaved,2,1,state_init,412.0,943,159
interleaved,2,1,state_init,415.0,943,159
interleaved,2,1,state_init,418.0,943,159
interleaved,2,1,state_init,422.0,943,159
interleaved,2,1,state_init,425.0,943,159
interleaved,2,1,state_init,427.0,943,159
interleaved,2,1,state_init,430.0,943,159
interleaved,2,1,state_init,433.0,943,159
interleaved,2,1,state_init,436.0,943,159
interleaved,2,1,state_init,439.0,943,159
interleaved,2,1,state_init,442.0,943,159
interleaved,2,1,state_init,445.0,943,159
interleaved,2,1,state_init,448.0,943,159
interleaved,2,1,state_init,451.0,943,159
interleaved,2,1,state_init,454.0,943,159
interleaved,2,1,state_init,456.0,943,159
interleaved,2,1,state_init,459.0,943,159
interleaved,2,1,state_init,462.0,943,159
interleaved,2,1,state_init,465.0,943,159
interleaved,2,1,state_init,467.0,943,159
interleaved,2,1,state_init,469.0,943,159
interleaved,2,1,state_init,473.0,943,159
interleaved,2,1,state_init,476.0,943,159
interleaved,2,1,state_init,479.0,943,159
interleaved,2,1,state_init,481.0,943,159
interleaved,2,1,state_init,485.0,943,159
interleaved,2,1,state_init,488.0,943,159
interleaved,2,1,state_init,491.0,943,159
interleaved,2,1,state_init,493.0,943,159
interleaved,2,1,state_init,496.0,943,159
interleaved,2,1,state_init,499.0,943,159
interleaved,2,1,state_init,502.0,943,159
interleaved,2,1,state_init,505.0,943,159
interleaved,2,1,state_init,508.0,943,159
interleaved,2,1,state_init,511.0,943,159
interleaved,2,1,state_init,513.0,943,159
interleaved,2,1,state_init,516.0,943,159
interleaved,2,1,state_init,519.0,943,159
interleaved,2,1,state_init,522.0,943,159
interleaved,2,1,state_init,524.0,943,159
interleaved,2,1,state_init,526.0,943,159
interleaved,2,1,state_init,529.0,943,159
interleaved,2,1,state_init,531.0,943,159
interleaved,2,1,state_init,534.0,943,159
interleaved,2,1,state_init,537.0,943,159
interleaved,2,1,state_init,541.0,943,159
interleaved,2,1,state_init,544.0,943,159
interleaved,2,1,state_init,547.0,943,159
interleaved,2,1,state_init,550.0,943,159
interleaved,2,1,state_init,553.0,943,159
interleaved,2,1,state_init,556.0,943,159
interleaved,2,1,state_init,558.0,943,159
interleaved,2,1,state_init,561.0,943,159
interleaved,2,1,state_init,563.0,943,159
interleaved,2,1,state_init,566.0,943,159
interleaved,2,1,state_init,569.0,943,159
interleaved,2,1,state_init,572.0,943,159
interleaved,2,1,state_init,575.0,943,159
interleaved,2,1,state_init,578.0,943,159
interleaved,2,1,state_init,580.0,943,159
interleaved,2,1,state_init,584.0,943,159
interleaved,2,1,state_init,587.0,943,159
interleaved,2,1,state_init,590.0,943,159
interleaved,2,1,state_init,594.0,943,159
interleaved,2,1,state_init,597.0,943,159
interleaved,2,1,state_init,599.0,943,159
interleaved,2,1,state_init,602.0,943,159
interleaved,2,1,state_init,605.0,943,159
interleaved,2,1,state_init,608.0,943,159
interleaved,2,1,state_init,611.0,943,159
interleaved,2,1,state_init,614.0,943,159
interleaved,2,1,state_init,617.0,943,159
interleaved,2,1,state_init,620.0,943,159
interleaved,2,1,state_init,623.0,943,159
interleaved,2,1,state_init,626.0,943,159
interleaved,2,1,state_init,628.0,943,159
interleaved,2,1,state_init,631.0,943,159
interleaved,2,1,state_init,634.0,943,159
interleaved,2,1,state_init,637.0,943,159
interleaved,2,1,state_init,640.0,943,159
interleaved,2,1,state_init,643.0,943,159
interleaved,2,1,state_init,645.0,943,159
interleaved,2,1,state_init,648.0,943,159
interleaved,2,1,state_init,651.0,943,159
interleaved,2,1,state_init,654.0,943,159
interleaved,2,1,state_init,658.0,943,159
interleaved,2,1,state_init,660.0,943,159
interleaved,2,1,state_init,663.0,943,159
interleaved,2,1,state_init,666.0,943,159
interleaved,2,1,state_init,669.0,943,159
interleaved,2,1,state_init,671.0,943,159
interleaved,2,1,state_init,674.0,943,159
interleaved,2,1,state_init,676.0,943,159
interleaved,2,1,state_init,680.0,943,159
interleaved,2,1,state_init,683.0,943,159
interleaved,2,1,state_init,686.0,943,159
interleaved,2,1,state_init,688.0,943,159
interleaved,2,1,state_init,691.0,943,159
interleaved,2,1,state_init,693.0,943,159
interleaved,2,1,state_init,696.0,943,159
interleaved,2,1,state_init,699.0,943,159
interleaved,2,1,state_init,702.0,943,159
interleaved,2,1,state_init,705.0,943,159
interleaved,2,1,state_init,708.0,943,159
interleaved,2,1,state_init,711.0,943,159
interleaved,2,1,state_init,714.0,943,159
interleaved,2,1,state_init,717.0,943,159
interleaved,2,1,state_init,720.0,943,159
interleaved,2,1,state_init,723.0,943,159
interleaved,2,1,state_init,726.0,943,159
interleaved,2,1,state_init,729.0,943,159
interleaved,2,1,state_init,732.0,943,159
interleaved,2,1,state_init,735.0,943,159
interleaved,2,1,state_init,738.0,943,159
interleaved,2,1,state_init,742.0,943,159
interleaved,2,1,state_init,745.0,943,159
interleaved,2,1,state_init,748.0,943,159
interleaved,2,1,state_init,751.0,943,159
interleaved,2,1,state_init,754.0,943,159
interleaved,2,1,state_init,758.0,943,159
interleaved,2,1,state_init,760.0,943,159
interleaved,2,1,state_init,763.0,943,159
interleaved,2,1,state_init,766.0,943,159
interleaved,2,1,state_init,769.0,943,159
interleaved,2,1,state_init,772.0,943,159
interleaved,2,1,state_init,775.0,943,159
interleaved,2,1,state_init,778.0,943,159
interleaved,2,1,state_init,782.0,943,159
interleaved,2,1,state_init,785.0,943,159
interleaved,2,1,state_init,788.0,943,159
interleaved,2,1,state_init,791.0,943,159
interleaved,2,1,state_init,794.0,943,159
interleaved,2,1,state_init,796.0,943,159
interleaved,2,1,state_init,800.0,943,159
interleaved,2,1,state_init,802.0,943,159
interleaved,2,1,state_init,805.0,943,159
interleaved,2,1,state_init,808.0,943,159
