,condition,subject,phase_2,su_prev,emv
0,blocked,13,rot_1,26.78,8.275306791536172
1,blocked,13,rot_2,0.0,5.368004430694128
2,blocked,15,rot_1,26.78,4.806963057926296
3,blocked,15,rot_2,0.0,31.864584320971137
4,blocked,17,rot_1,26.78,-0.3079792246659044
5,blocked,17,rot_2,0.0,-2.7279396063828756
6,blocked,19,rot_1,0.0,6.1732007615388085
7,blocked,19,rot_2,26.78,32.49389611497617
8,blocked,21,rot_1,0.0,4.26057383660537
9,blocked,21,rot_2,26.78,16.779757589740043
10,blocked,23,rot_1,0.0,5.871864195547232
11,blocked,23,rot_2,26.78,29.028397018959897
12,blocked,25,rot_1,26.78,-0.07042768056776083
13,blocked,25,rot_2,0.0,24.850407444906235
14,blocked,27,rot_1,0.0,7.530469116967514
15,blocked,27,rot_2,26.78,7.618565758501849
16,blocked,29,rot_1,0.0,-0.37438540856576213
17,blocked,29,rot_2,26.78,31.799759787301877
18,blocked,31,rot_1,26.78,6.908267664351452
19,blocked,31,rot_2,0.0,18.335234882626228
20,blocked,33,rot_1,0.0,7.526070012555702
21,blocked,33,rot_2,26.78,16.08709667860094
22,blocked,35,rot_1,26.78,-5.640581960466629
23,blocked,35,rot_2,0.0,3.045200784709337
24,blocked,37,rot_1,0.0,-0.5264532137783201
25,blocked,37,rot_2,26.78,5.77994999105114
26,interleaved,14,rot_1,26.78,8.186018901047623
27,interleaved,14,rot_2,26.78,8.502675194732527
28,interleaved,16,rot_1,0.0,1.5235040770201067
29,interleaved,16,rot_1,26.78,1.8949293892739405
30,interleaved,16,rot_2,0.0,20.599189547353493
31,interleaved,16,rot_2,26.78,22.47185205377886
32,interleaved,18,rot_1,0.0,7.85982052668907
33,interleaved,18,rot_1,26.78,2.787671972233241
34,interleaved,18,rot_2,0.0,16.235136413564618
35,interleaved,18,rot_2,26.78,11.378834389195632
36,interleaved,22,rot_1,0.0,3.4119600247807873
37,interleaved,22,rot_2,0.0,5.925594001001258
38,interleaved,22,rot_2,26.78,15.809246488438788
39,interleaved,24,rot_1,0.0,8.674539207340686
40,interleaved,24,rot_1,26.78,-7.005458438591759
41,interleaved,24,rot_2,0.0,14.322914438773438
42,interleaved,24,rot_2,26.78,9.909837715096394
43,interleaved,26,rot_1,0.0,3.7055901533501725
44,interleaved,26,rot_1,26.78,1.711472455038944
45,interleaved,26,rot_2,0.0,10.975903371032587
46,interleaved,26,rot_2,26.78,9.125431269989186
47,interleaved,28,rot_1,0.0,0.25540713889347444
48,interleaved,28,rot_1,26.78,-2.4334946772773165
49,interleaved,28,rot_2,0.0,-1.0398283489533782
50,interleaved,28,rot_2,26.78,2.4286785022677435
51,interleaved,30,rot_1,0.0,24.28693071833321
52,interleaved,30,rot_1,26.78,2.9515102416846872
53,interleaved,30,rot_2,0.0,26.567449924799597
54,interleaved,30,rot_2,26.78,23.93170088172053
55,interleaved,32,rot_1,0.0,9.087917570909006
56,interleaved,32,rot_1,26.78,3.1170521995412344
57,interleaved,32,rot_2,0.0,19.364801378478987
58,interleaved,32,rot_2,26.78,9.442642406773956
59,interleaved,34,rot_1,26.78,7.450869874826334
60,interleaved,34,rot_2,26.78,13.149206277559946
61,interleaved,36,rot_1,26.78,16.77285013087199
62,interleaved,36,rot_2,0.0,16.457536670654193
63,interleaved,36,rot_2,26.78,24.676530170797253
64,interleaved,38,rot_1,0.0,-1.2854018877303233
65,interleaved,38,rot_1,26.78,25.903133432342386
66,interleaved,38,rot_2,0.0,32.84458499950765
67,interleaved,38,rot_2,26.78,21.416231222410033
